,tconst,primary_title,runtime_minutes,genres,release_date,production_budget,domestic_gross,worldwide_gross,total_profit
242,tt0443272,Lincoln,150.0,"Biography,Drama,History","Nov 9, 2012",65000000,182207973,273346281,208346281
245,tt4846340,Hidden Figures,127.0,"Biography,Drama,History","Dec 25, 2016",25000000,169607287,231771716,206771716
249,tt1261945,Sex and the City 2,146.0,"Comedy,Drama,Romance","May 27, 2010",95000000,95347692,294680778,199680778
250,tt9111170,What Lies Beneath,,"Drama,Mystery,Thriller","Jul 21, 2000",90000000,155464351,288693989,198693989
251,tt6673682,Big Daddy,138.0,Drama,"Jun 25, 1999",30000000,163479795,228641283,198641283
257,tt3890160,Baby Driver,113.0,"Action,Crime,Drama","Jun 28, 2017",34000000,107825862,228104185,194104185
259,tt1355644,Passengers,116.0,"Drama,Romance,Sci-Fi","Dec 21, 2016",110000000,100014699,302239672,192239672
262,tt2674426,Me Before You,106.0,"Drama,Romance","Jun 3, 2016",20000000,56245075,208265198,188265198
263,tt1454029,The Help,146.0,Drama,"Aug 10, 2011",25000000,169705587,213120004,188120004
267,tt1285016,The Social Network,120.0,"Biography,Drama","Oct 1, 2010",40000000,96962694,224922135,184922135
270,tt9691476,Snow White and the Seven Dwarfs,,"Comedy,Drama,Fantasy","Dec 21, 1937",1488000,184925486,184925486,183437486
271,tt1024648,Argo,120.0,"Biography,Drama,Thriller","Oct 12, 2012",44500000,136025503,227140757,182640757
276,tt3263904,Sully,96.0,"Biography,Drama","Sep 9, 2016",60000000,125070033,238524556,178524556
278,tt5580390,The Shape of Water,123.0,"Adventure,Drama,Fantasy","Dec 1, 2017",19500000,63859435,195790794,176290794
283,tt1398426,Straight Outta Compton,147.0,"Biography,Drama,History","Aug 14, 2015",28000000,161197785,202182981,174182981
287,tt0918940,The Legend of Tarzan,110.0,"Action,Adventure,Drama","Jul 1, 2016",180000000,126643061,348902025,168902025
288,tt1606389,The Vow,104.0,"Drama,Romance","Feb 10, 2012",30000000,125014030,197618160,167618160
293,tt1783264,Elysium,,Drama,"Aug 9, 2013",120000000,93050117,286192091,166192091
294,tt1535109,Captain Phillips,134.0,"Biography,Drama,Thriller","Oct 11, 2013",55000000,107136417,220648184,165648184
297,tt6343314,Creed II,130.0,"Drama,Sport","Nov 21, 2018",50000000,115715889,213591522,163591522
298,tt1915581,Magic Mike,110.0,"Comedy,Drama","Jun 29, 2012",7000000,113721571,170549753,163549753
302,tt1343092,The Great Gatsby,143.0,"Drama,Romance","May 10, 2013",190000000,144840419,351040419,161040419
303,tt2024544,12 Years a Slave,134.0,"Biography,Drama,History","Oct 18, 2013",20000000,56671993,181025343,161025343
311,tt2361509,The Intern,121.0,"Comedy,Drama","Sep 25, 2015",40000000,75764672,197115710,157115710
315,tt5838908,The Descendants,80.0,Drama,"Nov 16, 2011",20000000,82624961,175507800,155507800
318,tt1596723,Click,127.0,"Drama,Horror,Mystery","Jun 23, 2006",82500000,137355633,237685089,155185089
320,tt6162924,Live and Let Die,45.0,"Drama,War","Jun 27, 1973",7000000,35400000,161800000,154800000
322,tt0433035,Real Steel,127.0,"Action,Drama,Family","Oct 7, 2011",110000000,85463309,263880341,153880341
327,tt0829150,Dracula Untold,92.0,"Action,Drama,Fantasy","Oct 10, 2014",70000000,55991880,220241723,150241723
328,tt1568346,The Girl with the Dragon Tattoo,158.0,"Crime,Drama,Mystery","Dec 20, 2011",90000000,102515793,239373970,149373970
330,tt5521836,Panic Room,,"Action,Drama,Mystery","Mar 29, 2002",48000000,95308367,196308367,148308367
331,tt5027774,"Three Billboards Outside Ebbing, Missouri",115.0,"Crime,Drama","Nov 10, 2017",12000000,54513740,160191915,148191915
332,tt1327773,Lee Daniels' The Butler,132.0,"Biography,Drama","Aug 16, 2013",30000000,116632095,177025498,147025498
334,tt0879870,Eat Pray Love,133.0,"Drama,Romance","Aug 13, 2010",60000000,80574010,206598789,146598789
337,tt2347134,Unforgiven,135.0,"Action,Crime,Drama","Aug 7, 1992",14400000,101157447,159157447,144757447
339,tt1646127,Lights Out,87.0,"Drama,Mystery,Thriller","Jul 22, 2016",5000000,67268835,148806510,143806510
340,tt6840314,City of Angels,,"Action,Drama,Horror","Apr 10, 1998",55000000,78750909,198750909,143750909
344,tt1276104,Looper,113.0,"Action,Crime,Drama","Sep 28, 2012",30000000,66486205,170466405,140466405
346,tt2923554,Jumper,5.0,"Biography,Documentary,Drama","Feb 14, 2008",82500000,80172128,222640812,140140812
351,tt2989872,Lion,70.0,"Comedy,Drama,Romance","Nov 25, 2016",12000000,51739495,149570720,137570720
352,tt3076658,Creed,133.0,"Drama,Sport","Nov 25, 2015",37000000,109767581,173567581,136567581
353,tt1253864,Immortals,110.0,"Action,Drama,Fantasy","Nov 11, 2011",75000000,83504017,211562435,136562435
356,tt1193631,Step Up 3D,107.0,"Drama,Music,Romance","Aug 6, 2010",30000000,42400223,165889117,135889117
