,primary_title,runtime_minutes,genres_x,release_date,production_budget,domestic_gross,worldwide_gross,total_profit,content_rating,directors,actors
110,The Best Exotic Marigold Hotel,124.0,"Comedy,Drama,Romance","May 4, 2012",10000000,46383639,134639780,124639780,PG-13,John Madden (II),"Tom Wilkinson, Maggie Smith, Judi Dench, Bill Nighy, Dev Patel, Celia Imrie, Penelope Wilton, Patrick Pearson, Hugh Dickson, James Rawlings, Liza Tarbuck, Paul Bhattacharjee, Lucy Robinson, Ronald Pickup, Simon Wilson, Sara Stewart, Ramona Marquez, Raoul Marquez, Glen Davies, Jay Villiers, Paul Bentall, Louise Brealey, Catherine Terris, Richard Cubison, Josh Cohen, Joshua Cole, Bhuvanesh Shetty, Honey Chhaya, Shubhrajyoti Barat, Narendra Kumar Ahmed, Hem Acharya, Kailash Vijay, Tina Desai, Sid Makkar, Seema Azmi, Vishnu Sharma, Lillete Dubey, Denzil Smith, Jagdish A. Sharma, Sandeep Lele, Diana Hardcastle, Neeraj Kadela, S.N. Purohit, Shiv Palawat, Mahesh Udeshi, Neena Kulkarni, Rajendra Gupta, Gagan Mishra, A.R. Rama"
111,No Strings Attached,108.0,"Comedy,Romance","Jan 21, 2011",25000000,70662220,149228078,124228078,R,Ivan Reitman,"Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes, Greta Gerwig, Lake Bell, Olivia Thirlby, Jake Johnson (XVI), Chris ""Ludacris"" Bridges, Matthew Moy, Mindy Kaling, Talia Balsam, Ophelia Lovibond, Guy Branum, Ben Lawson, Jennifer Irwin, Adhir Kalyan, Brian Dierker, Abby Elliott, Vedette Lim, Gary David Goldberg, Armen Weitzman, T. Shaun Russell, Nealla Gordon, Seth Morris, Nasim Pedrad, Elizabeth Meriwether, Mollee Gray, Derek Ferguson, Tyne Stecklein, Kym Connor, Renna Bartlett, Jennifer L. Hamilton, Krystal Ellsworth, Megan Honore, Moira ""Anjolie"" Marfori, Casey KC Monnie, Dalphe Morantus, William T. Loftus, Nicholas Lanzisera, Jason Williams, Heather Phillips, Britt Stewart, Katie Norman, Kim Lofko Germar, Paula Van Oppen, Hugo Chakrabongse, John Gerald Barclay, Tom Tangen, Tim Matheson, Ben Lautman, Joshua Allen Andreacola, Joshual Allen Andreacola, Milton Greenberg, Rachel McDermott, Robert Trapp, Rachael Markarian, Rachel Markarian, Kherington Payne, Dylan Hayes, Stefanie Scott"
112,Christopher Robin,104.0,"Adventure,Animation,Comedy","Aug 3, 2018",75000000,99215042,197504758,122504758,PG,Marc Forster,"Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss, Brad Garrett, Peter Capaldi, Sophie Okonedo, Oliver Ford Davies, Ronke Adekoluejo, Adrian Scarborough, Roger Ashton-Griffiths, Ken Nwosu, John Dagleish, Amanda Lawrence, Orton O'Brien, Katy Carmichael, Tristan Sturrock, Jasmine-Simone Charles, Paul Chahidi, Matt Gavan, Thomas Padden, Gareth Mason, Summer Brooks, Zain Falzon, Rainy Milo, Michael Jenn, Souad Faress, Alan Clark, Chris Pratt, Vera Chok, Claire Redcliffe, Elsa Minell, Matt Berry, Simon Farnaby, Matthew Earley, MacKenzie Crook, Vivien Bridson, Narinder Samra, Oliver Payne, David Hartley, Clara McGregor, Raj Ghatak, Sara Sheen"
113,Sausage Party,89.0,"Adventure,Animation,Comedy","Aug 12, 2016",19000000,97670358,141344255,122344255,R,"Conrad Vernon, Greg Tiernan","Bill Hader, James Franco, Danny McBride (IV), Craig Robinson, Paul Rudd, David Krumholtz, Michael Daingerfield, Ian James Corlett, Brian Dobson, Michael Dobson, Ian Hanlin, Maryke Hendrikse, Anders Holm, Lauren Miller, Nicole Oliver, Kelly Sheridan, Jason Simpson, Vincent Tong, Scott Diggs, Sam Vincent, Harland Williams, Seth Rogen, Jonah Hill, Kristen Wiig, Michael Cera, Edward Norton, Salma Hayek, Nick Kroll, Conrad Vernon"
114,Anchorman 2: The Legend Continues,119.0,Comedy,"Dec 18, 2013",50000000,127352707,172185754,122185754,PG-13,Adam McKay,"Will Ferrell, Paul Rudd, Steve Carell, David Koechner, Christina Applegate, Kristen Wiig, Harrison Ford, Meagan Good, Dylan Baker, Judah Nelson, James Marsden, Greg Kinnear"
115,The Mule,100.0,"Comedy,Drama","Dec 14, 2018",50000000,103804407,170857676,120857676,NR,,"Adam Connolly, Chor Huat 'Billy' Loh"
116,The Mule,100.0,"Comedy,Drama","Dec 14, 2018",50000000,103804407,170857676,120857676,R,Clint Eastwood,"Clint Eastwood, Bradley Cooper, Laurence Fishburne, Michael Peña, Dianne Wiest, Alison Eastwood, Taissa Farmiga, Ignacio Serricchio, Loren Dean, Diego Cataño, Daniel Moncada, Victor Rasuk, Ashani Roberts, Lobo Sebastian, Devon Ogden"
117,Gulliver's Travels,85.0,"Adventure,Comedy,Family","Dec 25, 2010",112000000,42779261,232017848,120017848,NR,Dave Fleischer,"Jessica Dragonette, Lanny Ross, Pinto Colvig, Jack Mercer"
118,Gulliver's Travels,85.0,"Adventure,Comedy,Family","Dec 25, 2010",112000000,42779261,232017848,120017848,PG,Rob Letterman,"Jack Black, Jason Segel, Emily Blunt, Amanda Peet, Billy Connolly, T.J. Miller, James Corden, Catherine Tate, Emmanuel Quatra, Olly Alexander, Richard Laing, David Sterne, Stewart Scudamore, Jonathan Aris, Jake Nightingale, Okezie Morro, Christopher Middleton, Danni Benattar, Bradley Steve Ford, Noah St. Bean, Zachary Harris, Charlize Hyams, Nieve Stenton, Rafiella Brooks, Harry Peacock, Gemma Whelan, Ian Porter, Stink Fisher, Bentley Kalu, Meredith Vieira, Joe Lo Truglio, Christopher Lee Shefstad"
119,Johnny English Reborn,101.0,"Action,Adventure,Comedy","Oct 21, 2011",45000000,8406711,164640401,119640401,PG,Oliver Parker,"Rowan Atkinson, Gillian Anderson, Dominic West, Rosamund Pike, Daniel Kaluuya, Richard Schiff, Togo Igawa, Tim McInnerny, Lobo Chan, Wale Ojo, Lim Pik-Sen, Williams Belle, Janet Whiteside, Mark Ivanir, Josephine de la Baume, Josephine de la Baume, Stephen Campbell Moore, Burn Gorman"
120,The Green Hornet,119.0,"Action,Comedy,Crime","Jan 14, 2011",110000000,98780042,229155503,119155503,PG-13,Michel Gondry,"Seth Rogen, Jay Chou, Cameron Diaz, Tom Wilkinson, Christoph Waltz, David Harbour, Edward James Olmos, Jamie Harris, Chad L. Coleman, Edward Furlong, Jill Remez, Joe O'Connor, James B. Harris, Morgan Rusler, Joshua Chandler Erenberg, Analeigh Tipton, Taylor Cole, Robert Clotworthy, Jamison Yang, Michael Holden, Irene White, Gary Davis, Angaleigh Tipton, Billy Mayo, Brandon Rudat, Beverly Brooks, Lu Parker, Diane Mizota, Theodore Bressman, Dave Rickley, Dina Mamedova, Tanner Gill, Jerry Trimble, George Fisher, Daniel Arrias, Eddie Perez, Bryan J. Thompson, Reuben Langdon, Amir Abdalla, Alexandra Lord, Christy Petersen, Frederick C. Ruiz, Keith Adams, Dennis Keiffer, Travon Magee, Dave A. Powledge, Jimmy Trimble"
121,Dumb and Dumber To,109.0,"Adventure,Comedy","Nov 14, 2014",40000000,86208010,156553592,116553592,PG-13,"J.B. Rogers, Bobby Farrelly, Peter Farrelly","Jim Carrey, Jeff Daniels, Rob Riggle, Laurie Holden, Rachel Melvin, Steve Tom, Don Lake, Patricia French, Kathleen Turner, Bill Murray, Tembi Locke, Paul Blackthorne, Brady Bluhm, Eddie Shin, Tommy Snider, Atkins Estimond, Lindsay Ayliffe, Matthew Cardarople, Michael Yama, Nancy Yee, Grant James, Taylor St. Clair, Kasseem ""Swizz Beatz"" Dean, Bryan Dilbeck, Kassidy Claire, Jo Wintker, Erika Bierman, Dalton E. Gray, Carly Craig, Dan Murphy, Brad Blank"
122,The Muppets,103.0,"Adventure,Comedy,Family","Nov 23, 2011",45000000,88625922,160971922,115971922,PG,James Bobin,"Jason Segel, Amy Adams, Chris Cooper, Steve Whitmire, Eric Jacobson, Dave Goelz, Rashida Jones, Bill Barretta, David Rudman, Matt Vogel, Peter Linz, Alan Arkin, Bill Cobbs, Zach Galifianakis, Ken Jeong, Jim Parsons, Eddie Pepitone, Kristen Schaal, Sarah Silverman, Eddie 'Piolín' Sotelo, Eddie ""Piolin"" Sotelo, Raymond Ma, Tuan Shu Lan, Donald Glover, Dahlia Waingort, Jonathan Palmer, Don Yanan, Michael Albala, Julia Marie Franzese, Gunnar Smith, Connor Gallagher, Justin Marco, Cameron Kasal, Justin Tinucci, Alex Jackson Long, Aria Noelle Curzon, Emily Blunt, James Carville, Feist, Whoopi Goldberg, Selena Gomez, Dave Grohl, Neil Patrick Harris, Judd Hirsch, John Krasinski, Rico Rodriguez, Mickey Rooney"
123,Baywatch,116.0,"Action,Comedy,Crime","May 25, 2017",60000000,58060186,175863783,115863783,R,Seth Gordon,"Dwayne Johnson, Zac Efron, Alexandra Daddario, Kelly Rohrbach, Priyanka Chopra, Jon Bass (II), Ilfenesh Hadera, Hannibal Buress"
124,The Dictator,83.0,Comedy,"May 16, 2012",65000000,59650222,180148897,115148897,R,Larry Charles,"Sacha Baron Cohen, Anna Faris, Ben Kingsley, Sayed Badreya, Megan Fox, JB Smoove, Jason Mantzoukas, Michele Berg, Liam Campora, Aasif Mandvi, Rizwan Manji, Rick Chambers, Adeel Akhtar, Horatio Sanz, Rocky Citron, Justo Usin, Joey Slotnick, Ian Roberts, Chris Parnell, Jessica St. Clair, David Wolos Fonteno, Anna Katarina, Michael G. Delaney, William Fowle, Bobby Lee, Olek Krupa, Alan Cox, Kevin Corrigan, Mitchell Green, Jenny L. Saldaña, George Bartenieff, Chris Gethard, Fred Armisen, Elena Goode, Dawn Zimniak, Danielle Burgio, Dominique DiCaprio, Maria Victoria Beltran, Aja Frary, Naz Homa, Elsayed Mohamed, Fred Melamed, Sean T. Krishnan, Eliyas Qureshi, Chris Elliott, Jon Glaser, Daniel Burress, Pete Wiggins, Adam Le Fevre, Marceline Hugot, Anthony Mangano, Melissa Francis, Tim J. Ellis, Michael Hardart, Miriam Tolan, Zachary Mackiewicz, Hollis Granville, Ann Dev'Unay, Sondra James, Tara Copeland, Sydney Berry, Kathryn Hahn, Seth Morris, Kate Pak, Regina Anne Rizzo, Tracey Ruggiero, Karl Jacob, Marcia Debonais, Nasim Pedrad, Mousa Kraish, Neimah Djourabchi, Sevan Greene, Nadav Malmud, Fred North, Fred Hanna, William Richards, Marc Wolff, Cordell King, Christopher Guardino"
125,Storks,87.0,"Adventure,Animation,Comedy","Sep 23, 2016",70000000,72679278,183353431,113353431,PG,"Nicholas Stoller, Doug Sweetland","Anton Starkman, Chris Smith, Chris Smith, Awkwafina, Ike Barinholtz, Jorma Taccone, Amanda Lund, Andy Samberg, Jennifer Aniston, Kelsey Grammer, Katie Crown, Jordan Peele, Keegan-Michael Key, Ty Burrell, Danny Trejo, Steve Glickman"
126,Girls Trip,122.0,"Comedy,Drama","Jul 21, 2017",28000000,115108515,140886353,112886353,R,Malcolm D. Lee,"Regina Hall, Tiffany Haddish, Larenz Tate, Mike Colter, Kate Walsh, Jada Pinkett Smith, Queen Latifah, Kofi Siriboe, Lara Grice, Deborah Ayorinde, Janeline Condez Hayes, Wayne ""Wild Wayne"" Benjamin, Jr., Wayne Benjamin Jr., Sunny Hostin, Nick Mundy, Ricky Wayne, Shrey Neil, Donna Biscoe, Aadyn Encalarde, Cayden Williams, Rachel G. Whittle, Ann McKenzie, John Wilmot, Sherri Marina, Mikki Val, Tonea Stewart, Anthony Frederick, Robert Miano, Ralph E. Tresvant, Johnny Gill, Ricky Bell, Michael Bivins, Ronnie DeVoe, Maxwell, Iyanla Vanzant, Estelle, Common, Sean Combs, Ma$e, Faith Evans, Ne-Yo, Terry McMillan, Morris Chestnut, Gabrielle Dennis, Jaina Lee Ortiz, Lorraine Toussaint, Charreah Jackson, Ava DuVernay, Melissa Harris Perry, D-Nice, Carla Hall, Mike Epps, Jaren Mitchell, Jessica Elizabeth Johnson, William Levy, Mannie Fresh, Tamika Jett, Brianna Nowlin, Wanetah Walmsley, Kyle Clements, Michaela Harrison, Mykia Jovan, Kevin Frazier, Damon Lipari, Mariah Carey, Babyface, Doug E. Fresh, MC Lyte, Lalah Hathaway"
127,End of Days,72.0,"Comedy,Documentary,Drama","Nov 24, 1999",100000000,66889043,212026975,112026975,R,Peter Hyams,"Arnold Schwarzenegger, Robin Tunney, Gabriel Byrne, Kevin Pollak, Rod Steiger, CCH Pounder, Udo Kier, Derrick O'Connor, Miriam Margolyes, Victor Varnado, Michael O'Hagan, Mark Margolis, David Weisenberg, Rainer Judd, Luciano Miele, Linda Pine, Vernon Campbell, Jack Shearer, Eve Sigall, Robert Lesser, Lloyd Garroway, Gary Anthony Williams, John Neilson, Ioannis Bogris, Elliott Goldwag, Elaine Corral, Denise D. Lewis, Renee Olstead"
128,Rango,107.0,"Adventure,Animation,Comedy","Mar 4, 2011",135000000,123477607,245724600,110724600,PG,Gore Verbinski,"Johnny Depp, Isla Fisher, Abigail Breslin, Ned Beatty, Alfred Molina, Bill Nighy, Stephen Root, Harry Dean Stanton, Timothy Olyphant, Ray Winstone, Ian Abercrombie, Gil Birmingham, James Ward Byrkit, Claudia Black, Blake Clark, John Cothran Jr., Patrika Darbo, George DelHoyo, Maile Flanagan, Charles Fleischer, Beth Grant, Ryan Hurst, Vincent Kartheiser, Hemky Madera, Alex Manugian, Mark ""Crash"" McCreery, Joseph A. Nuñez, Chris Parson, Lew Temple, Alanna Ubach, Gore Verbinski, Kym E. Whitley, Keith Campbell"
129,Teenage Mutant Ninja Turtles: Out of the Shadows,112.0,"Action,Adventure,Comedy","Jun 3, 2016",135000000,82051601,245328374,110328374,PG-13,Dave Green,"Megan Fox, Will Arnett, Stephen Amell, Laura Linney, Alan Ritchson, Noel Fisher, Jeremy Howard, Pete Ploszek, Alessandra Ambrosio, Brian Tee, Tyler Perry, Fred Armisen, Tony Shalhoub, Sheamus O'Shaunessy, Judith Hoag, Gary Anthony Williams, Brittany Ishibashi, Peter D. Badalamenti II, Brad Garrett, Danny Woodburn, Opal Alladin, Connor Fox, Stan Demidoff, Jill Martin, Greg Hildreth, Dean Winters, Antoinette Kalaj, Alice Callahan, Jane Wu, Jane Wurster, Steve Lacy, Carmelo Anthony, Jonathan Redick, DeAndre Jordan, Matt Barnes, Austin Rivers, Langston Arnold Galloway, Shane Larkin, Lou Amundson, Andrea Bargnani, Quincy Acy, Courtney L. Kirkland, Justin Van Duyne, Joslyn Brewster, Robert Clohessy, Alexis Suarez, John Palladino, Meredith Travers, Edwin J. Birmingham, Paul Michael Teutul, Kevin Eastman"
130,Magic Mike XXL,115.0,"Comedy,Drama,Music","Jul 1, 2015",14500000,66013057,123660597,109160597,R,Gregory Jacobs,"Channing Tatum, Matt Bomer, Joe Manganiello, Kevin Nash, Adam Rodriguez, Gabriel Iglesias, Amber Heard, Donald Glover, Andie MacDowell, Elizabeth Banks, Jada Pinkett Smith, Michael Strahan, Juan Piedrahita, Sharon Blackwood, Alison Faulk, Josh Diogo, Vicky Vox, Javier Madrid, Dashaun Wesley, Carrie Anne Hunt, Crystal Hunt, Raeden Greer, Lindsey N. Moser, Savannah Southern-Smith, Mel Chude, Stephen 'tWitch' Boss, Luke Broadlick, Belle Eseoghene Omabele, Julia Black, Kimberley Drummond, Judi Blair, Valerie Payton, Tequilla Whitfield, Sydney Sims, Jane McNeil, Rhoda Griffis, Ann Hamilton, Mary Kraft, Brandon Suave, Tyler Shackelford, George Bruer, Chad Darnell, Adam Martingano, Viktor Derkach, Billy Reilich, Deidre Goodwin, Natalie Pero, Sarah Bassak, Kathy Deitch, Haviland Stillwell, Sonya Golub, Teresa Espinosa, Eboni A. Johnson"
131,Trainwreck,125.0,"Comedy,Drama,Romance","Jul 17, 2015",35000000,110212700,141123897,106123897,R,Judd Apatow,"Amy Schumer, Bill Hader, Colin Quinn, Brie Larson, Mike Birbiglia, Devin Fabry, Carla Oudin, Josh Segarra, Ryan Farrell, Robert E. Torres, Jim Florentine, Bobby Kelly, Dan Soder, John Cena, Dave Attell, Vanessa Bayer, Tilda Swinton, Randall Park, Jon Glaser, Ezra Miller, Evan Brinkman, Norman Lloyd, LeBron James, Daniel Radcliffe, Marisa Tomei, Keith Robinson, Marina Franklin, Dave Hanson, Kim Caramele, Method Man, Max Alexander, Criscia Richardson, Claudia O'Doherty, Kyle Dunnigan, Kevin Kane, Jr., Tim Meadows, Nikki Glaser, Bridget Everett, Alva Chinn, Arnold Y. Kim, Rob Buntzen, Karen Chamberlain, Tony Romo, Amare Stoudemire, Rachel Feinstein, Victoria Dicce, Lisa Kicielinski, Matthew Broderick, Marv Albert, Chris Evert, Kevin Thompson (II), Leslie Jones, Estee Adoram, Leah O'Donnell, Selena Watkins, Alicia Mazepa, Nicole Serapiglia, Amanda Robinson, Whitney Wiggins, Javoris Carlisle, Aidan Charlery, Warren Hull, Eric Locklin, Luciano Acuna Jr., Derric Stotts, Sterling Jones, Krista Tunnell, John Mainieri"
132,The Big Short,130.0,"Biography,Comedy,Drama","Dec 11, 2015",28000000,70259870,133162752,105162752,R,Adam McKay,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt, Karen Gillan, Marisa Tomei, Melissa Leo, Finn Wittrock, Max Greenfield, Billy Magnussen, Rafe Spall, Hamish Linklater, John Magaro, Byron Mann, Al Sapienza, Heighlen Boyd, Sue-Lynn Ansari, Brandon Stacy, Jeremy Strong, Sara Finley, Tracy Letts, Lindsay Musil, Ruby Lou Smith, Shona Gastian, Aaron V. Williamson, Garrett Hines, Adepero Oduye, Wayne Pére, Judd Lormand, Dave Davis, Shauna Rappold, Lara Grice, Vanessa Cloke, Candice Harrison, Aiden Flowers, Charlie Talbert, Michael K. Douglas, Nicole Barré, Carrie Lazar, Billy Slaughter, Emily Bossak, Mark Falvo, Jae Suh Park, Juliet Reeves, Jeff Caperton, Tony Bentley, Hunter Burke, Jay Jablonski, Jaclyn Bethany, Elton LeBlanc, Jeffry Griffin, Nazeema Bartek, Tracy Mann, Paula Shreve, David Kallaway, Erika Vaughn, Tom Buis, Sidney Beitz, Mike R. Moreau, Colin Lawless, Stanley Wong, Holly Ann Perry, Jason Bayle, Andrea Vittoria Alvarado, Kristen Scott, Tom Bui, Rajeev Jacob, Leslie Castay, Marcus Lyle Brown, Lyle Brocato, Anthony Marble, Jack Millard, Tyler Kunkle, Patrick Kearns, Darly Wayne, Jesse Yarborough, Kelly Lind, Ryan Broussard, John Neisler, Daryl Thibodaux, Cynthia LeBlanc, Oscar Gale, David Michael Cefalu, Blaine Kern III, Michelle Torres, Elliott Grey, Peter Epstein, Mark Roman, Christopher Gulas, Michael Rollins, Ronald Joe Vasquez, Blaine Kern III, Jay Potter, Christina Michelle Williams, Paul Campanella, Alicia Davis Johnson, Staci Roberts Steele, Richard R. Corapi, Colette Divine, Candace McAdams, Jamie Gliddon, Rudy Eisenzopf, Casey Groves"
133,Billy Elliot,169.0,"Comedy,Drama,Music","Oct 13, 2000",5000000,21995263,109253745,104253745,R,Stephen Daldry,"Jamie Bell, Julie Walters, Jamie Draven, Gary Lewis, Jean Heywood, Stuart Wells, Mike Elliot, Janine Birkett, Nicola Blackwell, Billy Fane, Colin MacLachlan, Joe Renton, Trevor Fox, Carol McGuigan, Charlie Hardwick, Matthew James Thomas, Zoe Bell, Denny Ferguson, Dennis Lingrad, Steve Mangan, Paul Ridely, Patrick Malahide, Barbara Leigh-Hunt, Imogen Claire, Diana Kent, Neil North, Lee Williams, Petra Siniawski, Merelina Kendall, Tracey Wilkinson, Merryn Owen, Adam Cooper"
134,Hope Springs,100.0,"Comedy,Drama,Romance","Aug 8, 2012",30000000,63536011,133085295,103085295,PG-13,Mark Herman,"Colin Firth, Heather Graham, Minnie Driver, Oliver Platt, Frank Collison, Mary Steenburgen, Mary Black, Chad Faust, Tony Alcantar, Bethoe Shirkoff, Alan Giles, Dolores Drake, Howard Storey, June B. Wilde, Susan Bonham, Ken Kramer, Kathryn Kirkpatrick, Andrew Keilty"
135,Hope Springs,100.0,"Comedy,Drama,Romance","Aug 8, 2012",30000000,63536011,133085295,103085295,PG-13,David Frankel,"Meryl Streep, Tommy Lee Jones, Steve Carell, Ben Rappaport, Jean Smart, Marin Ireland, Patch Darragh, Brett Rice, Becky Ann Baker, Elisabeth Shue, Charles Techman, Daniel Flaherty, Damian Young, Mimi Rogers, Ann Harada, Jack Haley, Susan Misner, Rony Clanton, John Srednicki, Madeline Ruskin, Lee Cunningham, Paul Letersky, Rogina Bedell, Rogina Bedell-O'Brien, Stephen Lee Davis, Mark I. Graham"
136,Focus,105.0,"Comedy,Crime,Drama","Feb 27, 2015",65000000,53862963,168065700,103065700,R,"John Requa, Glenn Ficarra","Will Smith, Rodrigo Santoro, Margot Robbie, Adrian Martinez, Gerald McRaney, B.D. Wong, Brennan Brown, Robert Taylor (VII), Dotan Bonen, Griff Furst, Stephanie Honoré, David Stanford, Dominic Fumusa, Steve Kim, Don Yesso, Juan Minujín, Jano Seitun, Melania Lenoir, Pietro Gian, Justina Bustos, Paula Brasca, Antonella Macchi, Aaron Jay Rome, Armando L. Leduc, Jon Eyez, Clay Chamberlin, Daniel Ladmirault, Chip Carriere, Daniella Short, Frank Monteleone, Alan Sabbagh, Hervé Segata, Jorge Takashima, Pierre Marquille, Nas Mehdi, Federico Bongiorno, Kate Adair, Billy Slaughter, Lindsay Clift, Thomas Francis Murphy, Nicoye Banks, Ruy Gatti, Cacilie Hughes, Alvin Chon, Brett Baker, Taylor Persh, Mariano Bertolini, Scott M. Jefferson, Billy Louviere, Thomas Thomason, Antonella Saldicco, Joaquín Berthold, Martin Covert, Apollo Robbins, Michael Dardant, Victor Moran, Eric McMullen, Han Soto, Tenzin Yeshi Paichang, Laney Chouest, Darrell Foster, Hilary Tuttle, Guillermo Miguel, Nina Leon, Nick Reasons, Chris Dieker, Stevie Baggs Jr., Thomas Holley, Walter Prestenberg Jr., Nicholas Harris, Patrick J. O'Hara, David Haines, Steve Hammond, Derrick Townsend"
137,Think Like a Man,122.0,"Comedy,Romance","Apr 20, 2012",12000000,91547205,113373764,101373764,PG-13,Tim Story,"Michael Ealy, Jerry Ferrara, Meagan Good, Regina Hall, Kevin Hart, Taraji P. Henson, Terrence Jenkins, Jenifer Lewis, Romany Malco, Gary Owen, Gabrielle Union, La La Anthony, Wendy Williams, Sherri Shepherd, Caleel Harris, Arielle Kebbel, Steve Harvey, J. Anthony Brown, Thomas Miles, Sharon Brathwaite, Angela Gibbs, Tony Rock, Bruce Bruce, Tika Sumpter, Brent Bailey, Matt Hish, Omar Leyva, Dennis Nollette, Chrisanne Eastwood, JB Smoove, Luenell, Melyssa Ford, Gwen Yeager, Andrew Roffe, Keri Hilson, Noah Longo, Bunnie Rivera, Teria Birlon, Peter Arpesella, Kelly Rowland, Danny Vola, Jamie Foster Brown, Will Packer, Austin MacKinnon, Ron Artest, Matt Barnes, Shannon Maureen Brown, Rasual Butler, Darren Collison, Lisa Leslie"
138,Goosebumps,103.0,"Adventure,Comedy,Family","Oct 16, 2015",58000000,80069458,158905324,100905324,PG,Rob Letterman,"Jack Black, Dylan Minnette, Odeya Rush, Amy Ryan, Jillian Bell, Ryan Scott Lee, Ella Wahlestedt, Karan Soni, Steven Krueger, Amanda Lund, Cooper Ryan Lee, Kumail Nanjiani, Jared Sandler, Ken Marino, R.L. Stine, Clare Halstead, Gabriela Fraile, Jason A. Davis, Caleb Emery, Melissa Eastwood, Erica Marie Sanchez, Halston Sage, Keith Arthur Bolden, Timothy Simons, Nate Andrade, Sheldon Brown, Melissa Brewer, Marshall Choka, Melissa Cowan, John Deifer, Everett Dixon"
139,A Bad Moms Christmas,104.0,"Adventure,Comedy","Nov 1, 2017",28000000,72110659,127710550,99710550,R,Jon Lucas,"Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez, Cheryl Hines, Peter Gallagher, Justin Hartley, David Walton, Christine Baranski, Susan Sarandon"
140,Pitch Perfect,112.0,"Comedy,Music,Romance","Sep 28, 2012",17000000,65001093,116044347,99044347,PG-13,Jason Moore,"Anna Kendrick, Skylar Astin, Rebel Wilson, Ben Platt, Brittany Snow, Anna Camp, Alexis Knapp, Michael Dean Ester, Hana Mae Lee, Kelley Jakle, Wanetah Walmsley, Shelley Regner, Caroline Fourmy, Nicole Lovince, Adam DeVine, Utkarsh Ambudkar, Michael Viruet, David Del Rio, Elizabeth Banks, John Michael Higgins, John Benjamin Hickey, Freddie Stroma, Jinhee Joung, Jacob Wysocki, Jawan Harris, Richard Kohnke, Scott Shilstone, Brock Vincent Kelly, Drew Battles, Katrina DeSpain, Cameron Deane Stewart, Kether Donohue, Karen Gonzales, Lauren Gros, Alex Biglane, Michael Alexander, Tyler Forrest, Christopher Mintz-Plasse"
141,Hide and Seek,118.0,"Comedy,Crime","Jan 28, 2005",25000000,51100486,123696741,98696741,R,John Polson,"Robert De Niro, Dakota Fanning, Famke Janssen, Elisabeth Shue, Amy Irving, Dylan Baker, Melissa Leo, Robert John Burke, Molly Grant Kallins, David Chandler, Amber McDonald, Josh Flitter, Alicia Harding, Jake Dylan Baumer, Stewart Summers, James McCaffrey, Jack Dylan Baumer, Rose Pasquale, Brendan Sexton III"
142,Date Night,88.0,"Comedy,Crime,Romance","Apr 9, 2010",55000000,98711404,152269033,97269033,PG-13,Shawn Levy,"Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson, Jimmi Simpson, Common, William Fichtner, Leighton Meester, JB Smoove, Kristen Wiig, Mark Ruffalo, James Franco, Mila Kunis, Bill Burr, Jonathan Morgan Heit, Savannah Argenti, Nick Kroll, Olivia Munn, Gal Gadot, Lauren Weedman, Darren Le Gallo, J. Razor, Gillian Vigman, Cantor Chayim Frenkel, Jon Bernthal, Ari Graynor, will.i.am, Sho Brown, Jahnel Curfman, Stella Angelova, Joe Starr, John Cenatiempo, Katie Gill, Michelle Galdenzi, Stacey Scowley, Hal Devi, Dani Playel, Kat Howland, Alandrea Martin"
143,The Secret Life of Walter Mitty,114.0,"Adventure,Comedy,Drama","Dec 25, 2013",91000000,58236838,187861183,96861183,NR,"Norman Z. McLeod, Norman McLeod","Danny Kaye, Virginia Mayo, Boris Karloff, Fay Bainter, Ann Rutherford, Thurston Hall, Konstantin Shayne, Florence Bates, Gordon Jones, Reginald Denny, Henry Corden, Doris Lloyd, Fritz Feld, Frank Reicher, Milton Parsons, Mary Brewer, Betty Carlyle, Lorraine DeRome, Jackie Jordan, Martha Montgomery, Sue Casey, Betty Cargyle, Patricia Patrick, Irene Vernon, Karen X. Gaylord, Mary Ellen Gleason, Georgia Lane, Michael Mauree, Lynn Walker, Bess Flowers, Donna Dax, George Magrill, Joel Friedkin, John Tyrrell, Raoul Freeman, Sam Ash, Dorothy Granger, Harry Woods, Lumsden Hare, Hank Worden, Vernon Dent, John Hamilton, Henry Kolker, Harry Harvey Jr., Frank LaRue, James Brick Sullivan, Charles Trowbridge, Minerva Urecal, Maude Eburne, George Chandler, Vincent Pelletier, Harry Harvey, Mary Anne Baird, Jack Gargan, Harry Depp, Dick Earle, Broderick O'Farrell, Wilbur Mack, Ralph Dunn, Jack Cheatham, Mary Forbes, Pierre Watkin, Ernie S. Adams, George Lloyd, Syd Saylor, Billy Bletcher, Eddie Acuff, Wade Crosby, Dorothy Christy, Dick Rush, William Haade, William Newell, Paul Newlan, Chris-Pin Martin, Robert Altman, Sam McDaniel, Betty Blythe, Mary Gordon, Ethan Laidlaw, Moy Ming, W. Beal Wong"
